CMDLINE /usr/bin/python parallelRun.py
MEM 1.738281 1540048300.0369
MEM 12.851562 1540048300.1374
MEM 12.851562 1540048300.2379
MEM 12.851562 1540048300.3385
MEM 12.851562 1540048300.4390
MEM 12.851562 1540048300.5397
MEM 12.851562 1540048300.6404
MEM 12.851562 1540048300.7409
MEM 12.851562 1540048300.8413
MEM 12.851562 1540048300.9420
MEM 12.851562 1540048301.0427
MEM 12.851562 1540048301.1434
MEM 12.851562 1540048301.2438
MEM 12.851562 1540048301.3443
MEM 12.851562 1540048301.4448
MEM 12.851562 1540048301.5452
MEM 12.851562 1540048301.6457
MEM 12.851562 1540048301.7461
MEM 12.851562 1540048301.8466
MEM 12.851562 1540048301.9471
MEM 12.851562 1540048302.0475
MEM 12.851562 1540048302.1480
MEM 12.851562 1540048302.2487
MEM 12.851562 1540048302.3494
MEM 12.851562 1540048302.4501
MEM 12.851562 1540048302.5508
MEM 12.851562 1540048302.6513
MEM 12.851562 1540048302.7520
MEM 12.851562 1540048302.8527
MEM 12.851562 1540048302.9534
MEM 12.851562 1540048303.0541
MEM 12.851562 1540048303.1547
MEM 12.851562 1540048303.2552
MEM 12.851562 1540048303.3558
MEM 12.851562 1540048303.4564
MEM 12.851562 1540048303.5571
MEM 12.851562 1540048303.6578
MEM 12.851562 1540048303.7585
MEM 12.851562 1540048303.8590
MEM 12.851562 1540048303.9593
