CMDLINE /usr/bin/python parallelRun.py
MEM 1.765625 1540047316.9611
MEM 12.894531 1540047317.0617
MEM 12.894531 1540047317.1624
MEM 12.894531 1540047317.2631
MEM 12.894531 1540047317.3638
MEM 12.894531 1540047317.4645
MEM 12.894531 1540047317.5652
MEM 12.894531 1540047317.6656
MEM 12.894531 1540047317.7660
MEM 12.894531 1540047317.8667
MEM 12.894531 1540047317.9674
MEM 12.894531 1540047318.0677
MEM 12.894531 1540047318.1681
MEM 12.894531 1540047318.2685
MEM 12.894531 1540047318.3692
MEM 12.894531 1540047318.4699
MEM 12.894531 1540047318.5708
MEM 12.894531 1540047318.6716
MEM 12.894531 1540047318.7721
MEM 12.894531 1540047318.8728
MEM 12.894531 1540047318.9733
MEM 12.894531 1540047319.0739
MEM 12.894531 1540047319.1745
MEM 12.894531 1540047319.2752
MEM 12.894531 1540047319.3759
MEM 12.894531 1540047319.4766
MEM 12.894531 1540047319.5773
MEM 12.894531 1540047319.6780
MEM 12.894531 1540047319.7787
MEM 12.894531 1540047319.8794
MEM 12.894531 1540047319.9801
MEM 12.894531 1540047320.0808
MEM 12.894531 1540047320.1813
MEM 12.894531 1540047320.2818
MEM 12.894531 1540047320.3823
MEM 12.894531 1540047320.4830
MEM 12.894531 1540047320.5837
MEM 12.894531 1540047320.6843
MEM 12.894531 1540047320.7850
MEM 12.894531 1540047320.8857
MEM 12.894531 1540047320.9864
MEM 12.894531 1540047321.0871
MEM 12.894531 1540047321.1878
MEM 12.894531 1540047321.2883
MEM 12.894531 1540047321.3891
MEM 12.894531 1540047321.4897
MEM 12.894531 1540047321.5903
MEM 12.894531 1540047321.6910
MEM 12.894531 1540047321.7916
MEM 12.894531 1540047321.8921
MEM 12.894531 1540047321.9927
MEM 12.894531 1540047322.0936
MEM 12.894531 1540047322.1941
MEM 12.894531 1540047322.2946
MEM 12.894531 1540047322.3951
MEM 12.894531 1540047322.4957
MEM 12.894531 1540047322.5965
MEM 12.894531 1540047322.6972
MEM 12.894531 1540047322.7979
MEM 12.894531 1540047322.8984
MEM 12.894531 1540047322.9990
MEM 12.894531 1540047323.0996
MEM 12.894531 1540047323.1999
MEM 12.894531 1540047323.3005
MEM 12.894531 1540047323.4011
MEM 12.894531 1540047323.5018
MEM 12.894531 1540047323.6025
MEM 12.894531 1540047323.7031
MEM 12.894531 1540047323.8037
MEM 12.894531 1540047323.9043
MEM 12.894531 1540047324.0051
MEM 12.894531 1540047324.1058
MEM 12.894531 1540047324.2064
MEM 12.894531 1540047324.3071
MEM 12.894531 1540047324.4078
MEM 12.894531 1540047324.5084
MEM 12.894531 1540047324.6090
MEM 12.894531 1540047324.7097
MEM 12.894531 1540047324.8103
MEM 12.894531 1540047324.9110
MEM 12.894531 1540047325.0117
MEM 12.894531 1540047325.1124
MEM 12.894531 1540047325.2130
MEM 12.894531 1540047325.3138
MEM 12.894531 1540047325.4145
MEM 12.894531 1540047325.5152
MEM 12.894531 1540047325.6158
MEM 12.894531 1540047325.7165
MEM 12.894531 1540047325.8170
MEM 12.894531 1540047325.9177
MEM 12.894531 1540047326.0184
MEM 12.894531 1540047326.1191
MEM 12.894531 1540047326.2198
MEM 12.894531 1540047326.3205
MEM 12.894531 1540047326.4212
MEM 12.894531 1540047326.5219
MEM 12.894531 1540047326.6227
MEM 12.894531 1540047326.7234
MEM 12.894531 1540047326.8240
MEM 12.894531 1540047326.9246
MEM 12.894531 1540047327.0251
MEM 12.894531 1540047327.1258
MEM 12.894531 1540047327.2263
MEM 12.894531 1540047327.3268
MEM 12.894531 1540047327.4275
MEM 12.894531 1540047327.5282
MEM 12.894531 1540047327.6289
MEM 12.894531 1540047327.7296
MEM 12.894531 1540047327.8301
MEM 12.894531 1540047327.9307
MEM 12.894531 1540047328.0314
MEM 12.894531 1540047328.1318
MEM 12.894531 1540047328.2322
MEM 12.894531 1540047328.3326
MEM 12.894531 1540047328.4333
MEM 12.894531 1540047328.5340
MEM 12.894531 1540047328.6347
MEM 12.894531 1540047328.7354
MEM 12.894531 1540047328.8358
MEM 12.894531 1540047328.9362
MEM 12.894531 1540047329.0368
MEM 12.894531 1540047329.1375
MEM 12.894531 1540047329.2382
MEM 12.894531 1540047329.3388
MEM 12.894531 1540047329.4394
MEM 12.894531 1540047329.5400
MEM 12.894531 1540047329.6406
MEM 12.894531 1540047329.7412
MEM 12.894531 1540047329.8416
MEM 12.894531 1540047329.9421
MEM 12.894531 1540047330.0428
