CMDLINE /usr/bin/python parallelRun.py
MEM 1.886719 1540048290.2189
MEM 12.964844 1540048290.3193
MEM 12.964844 1540048290.4199
MEM 12.964844 1540048290.5204
MEM 12.964844 1540048290.6211
MEM 12.964844 1540048290.7218
MEM 12.964844 1540048290.8226
MEM 12.964844 1540048290.9230
MEM 12.964844 1540048291.0235
MEM 12.964844 1540048291.1241
MEM 12.964844 1540048291.2248
MEM 12.964844 1540048291.3252
MEM 12.964844 1540048291.4256
MEM 12.964844 1540048291.5261
MEM 12.964844 1540048291.6267
MEM 12.964844 1540048291.7275
MEM 12.964844 1540048291.8281
MEM 12.964844 1540048291.9287
MEM 12.964844 1540048292.0292
MEM 12.964844 1540048292.1300
MEM 12.964844 1540048292.2303
MEM 12.964844 1540048292.3308
MEM 12.964844 1540048292.4315
MEM 12.964844 1540048292.5322
MEM 12.964844 1540048292.6327
MEM 12.964844 1540048292.7334
MEM 12.964844 1540048292.8341
MEM 12.964844 1540048292.9348
MEM 12.964844 1540048293.0354
MEM 12.964844 1540048293.1360
MEM 12.964844 1540048293.2366
MEM 12.964844 1540048293.3372
MEM 12.964844 1540048293.4380
MEM 12.964844 1540048293.5386
MEM 12.964844 1540048293.6393
MEM 12.964844 1540048293.7400
MEM 12.964844 1540048293.8406
MEM 12.964844 1540048293.9413
MEM 12.964844 1540048294.0416
