CMDLINE /usr/bin/python parallelRun.py
MEM 1.855469 1540047102.8069
MEM 12.843750 1540047102.9074
MEM 12.843750 1540047103.0079
MEM 12.843750 1540047103.1084
MEM 12.843750 1540047103.2090
MEM 12.843750 1540047103.3097
MEM 12.843750 1540047103.4104
MEM 12.843750 1540047103.5111
MEM 12.843750 1540047103.6116
MEM 12.843750 1540047103.7121
MEM 12.843750 1540047103.8128
MEM 12.843750 1540047103.9131
MEM 12.843750 1540047104.0136
MEM 12.843750 1540047104.1142
MEM 12.843750 1540047104.2146
MEM 12.843750 1540047104.3151
MEM 12.843750 1540047104.4157
MEM 12.843750 1540047104.5161
MEM 12.843750 1540047104.6166
MEM 12.843750 1540047104.7172
MEM 12.843750 1540047104.8178
MEM 12.843750 1540047104.9185
MEM 12.843750 1540047105.0191
MEM 12.843750 1540047105.1196
MEM 12.843750 1540047105.2202
MEM 12.843750 1540047105.3209
MEM 12.843750 1540047105.4216
MEM 12.843750 1540047105.5223
MEM 12.843750 1540047105.6230
MEM 12.843750 1540047105.7237
MEM 12.843750 1540047105.8244
MEM 12.843750 1540047105.9251
MEM 12.843750 1540047106.0259
MEM 12.843750 1540047106.1266
MEM 12.843750 1540047106.2273
MEM 12.843750 1540047106.3280
MEM 12.843750 1540047106.4287
MEM 12.843750 1540047106.5294
MEM 12.843750 1540047106.6298
MEM 12.843750 1540047106.7304
MEM 12.843750 1540047106.8310
MEM 12.843750 1540047106.9317
MEM 12.843750 1540047107.0324
MEM 12.843750 1540047107.1331
MEM 12.843750 1540047107.2338
MEM 12.843750 1540047107.3345
MEM 12.843750 1540047107.4352
MEM 12.843750 1540047107.5360
MEM 12.843750 1540047107.6366
MEM 12.843750 1540047107.7370
MEM 12.843750 1540047107.8374
MEM 12.843750 1540047107.9381
MEM 12.843750 1540047108.0387
MEM 12.843750 1540047108.1393
MEM 12.843750 1540047108.2399
MEM 12.843750 1540047108.3404
MEM 12.843750 1540047108.4409
MEM 12.843750 1540047108.5413
MEM 12.843750 1540047108.6417
MEM 12.843750 1540047108.7420
MEM 12.843750 1540047108.8426
MEM 12.843750 1540047108.9429
MEM 12.843750 1540047109.0434
MEM 12.843750 1540047109.1437
MEM 12.843750 1540047109.2441
MEM 12.843750 1540047109.3446
MEM 12.843750 1540047109.4450
MEM 12.843750 1540047109.5456
MEM 12.843750 1540047109.6461
MEM 12.843750 1540047109.7468
MEM 12.843750 1540047109.8475
MEM 12.843750 1540047109.9481
MEM 12.843750 1540047110.0488
MEM 12.843750 1540047110.1494
MEM 12.843750 1540047110.2500
MEM 12.843750 1540047110.3507
MEM 12.843750 1540047110.4514
MEM 12.843750 1540047110.5521
MEM 12.843750 1540047110.6527
MEM 12.843750 1540047110.7533
MEM 12.843750 1540047110.8538
MEM 12.843750 1540047110.9545
MEM 12.843750 1540047111.0552
MEM 12.843750 1540047111.1558
MEM 12.843750 1540047111.2564
MEM 12.843750 1540047111.3568
MEM 12.843750 1540047111.4573
MEM 12.843750 1540047111.5579
MEM 12.843750 1540047111.6585
MEM 12.843750 1540047111.7589
MEM 12.843750 1540047111.8594
MEM 12.843750 1540047111.9599
MEM 12.843750 1540047112.0603
MEM 12.843750 1540047112.1610
MEM 12.843750 1540047112.2617
MEM 12.843750 1540047112.3624
MEM 12.843750 1540047112.4631
MEM 12.843750 1540047112.5637
MEM 12.843750 1540047112.6643
MEM 12.843750 1540047112.7650
MEM 12.843750 1540047112.8657
MEM 12.843750 1540047112.9660
MEM 12.843750 1540047113.0665
MEM 12.843750 1540047113.1669
MEM 12.843750 1540047113.2673
MEM 12.843750 1540047113.3679
MEM 12.843750 1540047113.4685
MEM 12.843750 1540047113.5693
MEM 12.843750 1540047113.6699
MEM 12.843750 1540047113.7706
MEM 12.843750 1540047113.8710
MEM 12.843750 1540047113.9713
MEM 12.843750 1540047114.0717
MEM 12.843750 1540047114.1723
MEM 12.843750 1540047114.2727
MEM 12.843750 1540047114.3731
MEM 12.843750 1540047114.4737
MEM 12.843750 1540047114.5743
MEM 12.843750 1540047114.6749
MEM 12.843750 1540047114.7753
MEM 12.843750 1540047114.8758
MEM 12.843750 1540047114.9762
MEM 12.843750 1540047115.0767
MEM 12.843750 1540047115.1771
MEM 12.843750 1540047115.2776
MEM 12.843750 1540047115.3780
MEM 12.843750 1540047115.4787
MEM 12.843750 1540047115.5793
MEM 12.843750 1540047115.6800
MEM 12.843750 1540047115.7804
MEM 12.843750 1540047115.8808
MEM 12.843750 1540047115.9813
MEM 12.843750 1540047116.0818
MEM 12.843750 1540047116.1824
MEM 12.843750 1540047116.2830
MEM 12.843750 1540047116.3837
MEM 12.843750 1540047116.4844
MEM 12.843750 1540047116.5852
MEM 12.843750 1540047116.6858
MEM 12.843750 1540047116.7863
MEM 12.843750 1540047116.8867
MEM 12.843750 1540047116.9873
MEM 12.843750 1540047117.0880
MEM 12.843750 1540047117.1887
MEM 12.843750 1540047117.2894
MEM 12.843750 1540047117.3901
MEM 12.843750 1540047117.4908
MEM 12.843750 1540047117.5915
MEM 12.843750 1540047117.6922
MEM 12.843750 1540047117.7928
MEM 12.843750 1540047117.8934
MEM 12.843750 1540047117.9937
MEM 12.843750 1540047118.0941
MEM 12.843750 1540047118.1947
MEM 12.843750 1540047118.2953
MEM 12.843750 1540047118.3959
MEM 12.843750 1540047118.4965
MEM 12.843750 1540047118.5971
MEM 12.843750 1540047118.6979
MEM 12.843750 1540047118.7986
MEM 12.843750 1540047118.8993
MEM 12.843750 1540047118.9999
MEM 12.843750 1540047119.1005
MEM 12.843750 1540047119.2011
MEM 12.843750 1540047119.3018
MEM 12.843750 1540047119.4021
MEM 12.843750 1540047119.5027
MEM 12.843750 1540047119.6032
MEM 12.843750 1540047119.7037
MEM 12.843750 1540047119.8041
MEM 12.843750 1540047119.9047
MEM 12.843750 1540047120.0052
MEM 12.843750 1540047120.1059
MEM 12.843750 1540047120.2065
MEM 12.843750 1540047120.3069
MEM 12.843750 1540047120.4074
MEM 12.843750 1540047120.5080
MEM 12.843750 1540047120.6086
MEM 12.843750 1540047120.7093
MEM 12.843750 1540047120.8100
MEM 12.843750 1540047120.9106
MEM 12.843750 1540047121.0111
MEM 12.843750 1540047121.1116
MEM 12.843750 1540047121.2121
MEM 12.843750 1540047121.3125
MEM 12.843750 1540047121.4130
MEM 12.843750 1540047121.5137
MEM 12.843750 1540047121.6143
MEM 12.843750 1540047121.7148
MEM 12.843750 1540047121.8153
MEM 12.843750 1540047121.9158
MEM 12.843750 1540047122.0165
MEM 12.843750 1540047122.1172
MEM 12.843750 1540047122.2178
MEM 12.843750 1540047122.3184
MEM 12.843750 1540047122.4189
MEM 12.843750 1540047122.5195
MEM 12.843750 1540047122.6200
MEM 12.843750 1540047122.7204
MEM 12.843750 1540047122.8208
MEM 12.843750 1540047122.9214
MEM 12.843750 1540047123.0218
MEM 12.843750 1540047123.1223
MEM 12.843750 1540047123.2230
MEM 12.843750 1540047123.3234
MEM 12.843750 1540047123.4240
MEM 12.843750 1540047123.5246
MEM 12.843750 1540047123.6250
MEM 12.843750 1540047123.7255
MEM 12.843750 1540047123.8258
MEM 12.843750 1540047123.9262
MEM 12.843750 1540047124.0268
MEM 12.843750 1540047124.1272
MEM 12.843750 1540047124.2277
MEM 12.843750 1540047124.3283
MEM 12.843750 1540047124.4288
MEM 12.843750 1540047124.5292
MEM 12.843750 1540047124.6297
MEM 12.843750 1540047124.7302
MEM 12.843750 1540047124.8305
MEM 12.843750 1540047124.9308
MEM 12.843750 1540047125.0313
MEM 12.843750 1540047125.1317
MEM 12.843750 1540047125.2324
MEM 12.843750 1540047125.3331
MEM 12.843750 1540047125.4338
MEM 12.843750 1540047125.5342
MEM 12.843750 1540047125.6347
MEM 12.843750 1540047125.7351
MEM 12.843750 1540047125.8356
MEM 12.843750 1540047125.9360
MEM 12.843750 1540047126.0366
MEM 12.843750 1540047126.1369
MEM 12.843750 1540047126.2373
MEM 12.843750 1540047126.3378
MEM 12.843750 1540047126.4382
MEM 12.843750 1540047126.5387
MEM 12.843750 1540047126.6392
MEM 12.843750 1540047126.7397
MEM 12.843750 1540047126.8401
MEM 12.843750 1540047126.9408
MEM 12.843750 1540047127.0411
MEM 12.843750 1540047127.1417
MEM 12.843750 1540047127.2421
MEM 12.843750 1540047127.3427
MEM 12.843750 1540047127.4434
MEM 12.843750 1540047127.5438
MEM 12.843750 1540047127.6441
MEM 12.843750 1540047127.7445
MEM 12.843750 1540047127.8449
MEM 12.843750 1540047127.9454
MEM 12.843750 1540047128.0459
MEM 12.843750 1540047128.1465
MEM 12.843750 1540047128.2472
MEM 12.843750 1540047128.3479
MEM 12.843750 1540047128.4486
MEM 12.843750 1540047128.5490
MEM 12.843750 1540047128.6494
MEM 12.843750 1540047128.7499
MEM 12.843750 1540047128.8503
MEM 12.843750 1540047128.9509
MEM 12.843750 1540047129.0516
MEM 12.843750 1540047129.1522
MEM 12.843750 1540047129.2529
MEM 12.843750 1540047129.3536
MEM 12.843750 1540047129.4541
MEM 12.843750 1540047129.5544
MEM 12.843750 1540047129.6551
MEM 12.843750 1540047129.7557
MEM 12.843750 1540047129.8561
MEM 12.843750 1540047129.9564
MEM 12.843750 1540047130.0569
MEM 12.843750 1540047130.1574
MEM 12.843750 1540047130.2577
MEM 12.843750 1540047130.3581
MEM 12.843750 1540047130.4587
MEM 12.843750 1540047130.5592
MEM 12.843750 1540047130.6598
MEM 12.843750 1540047130.7603
MEM 12.843750 1540047130.8609
MEM 12.843750 1540047130.9614
MEM 12.843750 1540047131.0621
MEM 12.843750 1540047131.1627
MEM 12.843750 1540047131.2634
MEM 12.843750 1540047131.3641
MEM 12.843750 1540047131.4648
MEM 12.843750 1540047131.5652
MEM 12.843750 1540047131.6656
MEM 12.843750 1540047131.7661
MEM 12.843750 1540047131.8666
MEM 12.843750 1540047131.9670
MEM 12.843750 1540047132.0675
MEM 12.843750 1540047132.1681
MEM 12.843750 1540047132.2687
MEM 12.843750 1540047132.3694
MEM 12.843750 1540047132.4698
MEM 12.843750 1540047132.5703
MEM 12.843750 1540047132.6706
MEM 12.843750 1540047132.7709
MEM 12.843750 1540047132.8715
MEM 12.843750 1540047132.9719
MEM 12.843750 1540047133.0723
MEM 12.843750 1540047133.1726
MEM 12.843750 1540047133.2731
MEM 12.843750 1540047133.3738
