CMDLINE /usr/bin/python parallelRun.py
MEM 1.734375 1540048271.8200
MEM 12.953125 1540048271.9205
MEM 12.953125 1540048272.0212
MEM 12.953125 1540048272.1219
MEM 12.953125 1540048272.2226
MEM 12.953125 1540048272.3234
MEM 12.953125 1540048272.4241
MEM 12.953125 1540048272.5246
MEM 12.953125 1540048272.6251
MEM 12.953125 1540048272.7257
MEM 12.953125 1540048272.8264
MEM 12.953125 1540048272.9268
MEM 12.953125 1540048273.0272
MEM 12.953125 1540048273.1276
MEM 12.953125 1540048273.2280
MEM 12.953125 1540048273.3286
MEM 12.953125 1540048273.4292
MEM 12.953125 1540048273.5297
MEM 12.953125 1540048273.6305
MEM 12.953125 1540048273.7311
MEM 12.953125 1540048273.8316
MEM 12.953125 1540048273.9323
MEM 12.953125 1540048274.0330
MEM 12.953125 1540048274.1338
MEM 12.953125 1540048274.2345
MEM 12.953125 1540048274.3352
MEM 12.953125 1540048274.4359
MEM 12.953125 1540048274.5365
MEM 12.953125 1540048274.6372
MEM 12.953125 1540048274.7379
MEM 12.953125 1540048274.8385
MEM 12.953125 1540048274.9392
MEM 12.953125 1540048275.0398
MEM 12.953125 1540048275.1405
MEM 12.953125 1540048275.2412
MEM 12.953125 1540048275.3419
MEM 12.953125 1540048275.4426
MEM 12.953125 1540048275.5433
MEM 12.953125 1540048275.6440
MEM 12.953125 1540048275.7447
MEM 12.953125 1540048275.8454
MEM 12.953125 1540048275.9460
MEM 12.953125 1540048276.0463
MEM 12.953125 1540048276.1468
MEM 12.953125 1540048276.2474
MEM 12.953125 1540048276.3481
MEM 12.953125 1540048276.4488
MEM 12.953125 1540048276.5496
MEM 12.953125 1540048276.6502
MEM 12.953125 1540048276.7509
MEM 12.953125 1540048276.8516
MEM 12.953125 1540048276.9523
MEM 12.953125 1540048277.0530
MEM 12.953125 1540048277.1535
MEM 12.953125 1540048277.2539
MEM 12.953125 1540048277.3545
MEM 12.953125 1540048277.4550
MEM 12.953125 1540048277.5556
MEM 12.953125 1540048277.6562
MEM 12.953125 1540048277.7568
MEM 12.953125 1540048277.8576
MEM 12.953125 1540048277.9583
MEM 12.953125 1540048278.0587
MEM 12.953125 1540048278.1591
MEM 12.953125 1540048278.2594
MEM 12.953125 1540048278.3601
MEM 12.953125 1540048278.4605
MEM 12.953125 1540048278.5609
MEM 12.953125 1540048278.6613
MEM 12.953125 1540048278.7620
MEM 12.953125 1540048278.8624
MEM 12.953125 1540048278.9629
MEM 12.953125 1540048279.0633
MEM 12.953125 1540048279.1640
MEM 12.953125 1540048279.2645
MEM 12.953125 1540048279.3652
MEM 12.953125 1540048279.4660
MEM 12.953125 1540048279.5665
MEM 12.953125 1540048279.6671
MEM 12.953125 1540048279.7676
MEM 12.953125 1540048279.8680
MEM 12.953125 1540048279.9684
MEM 12.953125 1540048280.0688
MEM 12.953125 1540048280.1692
MEM 12.953125 1540048280.2697
MEM 12.953125 1540048280.3702
MEM 12.953125 1540048280.4710
MEM 12.953125 1540048280.5716
MEM 12.953125 1540048280.6724
MEM 12.953125 1540048280.7729
MEM 12.953125 1540048280.8734
MEM 12.953125 1540048280.9741
MEM 12.953125 1540048281.0747
MEM 12.953125 1540048281.1754
MEM 12.953125 1540048281.2761
MEM 12.953125 1540048281.3768
MEM 12.953125 1540048281.4775
MEM 12.953125 1540048281.5781
MEM 12.953125 1540048281.6785
MEM 12.953125 1540048281.7791
MEM 12.953125 1540048281.8798
MEM 12.953125 1540048281.9805
MEM 12.953125 1540048282.0812
MEM 12.953125 1540048282.1818
MEM 12.953125 1540048282.2824
MEM 12.953125 1540048282.3828
MEM 12.953125 1540048282.4831
