CMDLINE /usr/bin/python parallelRun.py
MEM 1.804688 1540048309.2668
MEM 13.039062 1540048309.3674
MEM 13.039062 1540048309.4681
MEM 13.039062 1540048309.5688
MEM 13.039062 1540048309.6694
MEM 13.039062 1540048309.7702
MEM 13.039062 1540048309.8709
MEM 13.039062 1540048309.9713
MEM 13.039062 1540048310.0719
MEM 13.039062 1540048310.1724
MEM 13.039062 1540048310.2728
MEM 13.039062 1540048310.3733
MEM 13.039062 1540048310.4739
MEM 13.039062 1540048310.5746
MEM 13.039062 1540048310.6750
MEM 13.039062 1540048310.7754
MEM 13.039062 1540048310.8760
MEM 13.039062 1540048310.9768
MEM 13.039062 1540048311.0776
MEM 13.039062 1540048311.1782
MEM 13.039062 1540048311.2787
MEM 13.039062 1540048311.3791
MEM 13.039062 1540048311.4795
MEM 13.039062 1540048311.5802
MEM 13.039062 1540048311.6809
MEM 13.039062 1540048311.7815
MEM 13.039062 1540048311.8821
MEM 13.039062 1540048311.9827
MEM 13.039062 1540048312.0832
MEM 13.039062 1540048312.1837
MEM 13.039062 1540048312.2842
MEM 13.039062 1540048312.3847
MEM 13.039062 1540048312.4854
MEM 13.039062 1540048312.5861
MEM 13.039062 1540048312.6867
MEM 13.039062 1540048312.7873
MEM 13.039062 1540048312.8879
MEM 13.039062 1540048312.9885
MEM 13.039062 1540048313.0890
MEM 13.039062 1540048313.1897
MEM 13.039062 1540048313.2903
MEM 13.039062 1540048313.3910
MEM 13.039062 1540048313.4917
MEM 13.039062 1540048313.5923
MEM 13.039062 1540048313.6930
MEM 13.039062 1540048313.7938
MEM 13.039062 1540048313.8945
MEM 13.039062 1540048313.9952
MEM 13.039062 1540048314.0958
MEM 13.039062 1540048314.1964
MEM 13.039062 1540048314.2969
MEM 13.039062 1540048314.3977
MEM 13.039062 1540048314.4982
MEM 13.039062 1540048314.5989
MEM 13.039062 1540048314.6999
MEM 13.039062 1540048314.8007
MEM 13.039062 1540048314.9010
MEM 13.039062 1540048315.0017
MEM 13.039062 1540048315.1022
MEM 13.039062 1540048315.2029
MEM 13.039062 1540048315.3035
MEM 13.039062 1540048315.4041
MEM 13.039062 1540048315.5044
MEM 13.039062 1540048315.6057
MEM 13.039062 1540048315.7062
MEM 13.039062 1540048315.8066
MEM 13.039062 1540048315.9071
MEM 13.039062 1540048316.0076
MEM 13.039062 1540048316.1080
MEM 13.039062 1540048316.2086
MEM 13.039062 1540048316.3090
MEM 13.039062 1540048316.4097
MEM 13.039062 1540048316.5102
MEM 13.039062 1540048316.6108
MEM 13.039062 1540048316.7112
MEM 13.039062 1540048316.8117
MEM 13.039062 1540048316.9123
MEM 13.039062 1540048317.0127
MEM 13.039062 1540048317.1133
MEM 13.039062 1540048317.2140
MEM 13.039062 1540048317.3145
MEM 13.039062 1540048317.4150
MEM 13.039062 1540048317.5155
MEM 13.039062 1540048317.6160
MEM 13.039062 1540048317.7164
MEM 13.039062 1540048317.8168
MEM 13.039062 1540048317.9171
MEM 13.039062 1540048318.0176
MEM 13.039062 1540048318.1180
MEM 13.039062 1540048318.2185
MEM 13.039062 1540048318.3191
MEM 13.039062 1540048318.4198
MEM 13.039062 1540048318.5204
MEM 13.039062 1540048318.6210
MEM 13.039062 1540048318.7216
MEM 13.039062 1540048318.8220
MEM 13.039062 1540048318.9226
MEM 13.039062 1540048319.0230
MEM 13.039062 1540048319.1235
MEM 13.039062 1540048319.2241
MEM 13.039062 1540048319.3245
MEM 13.039062 1540048319.4250
MEM 13.039062 1540048319.5257
MEM 13.039062 1540048319.6263
MEM 13.039062 1540048319.7269
MEM 13.039062 1540048319.8275
MEM 13.039062 1540048319.9281
MEM 13.039062 1540048320.0287
MEM 13.039062 1540048320.1293
MEM 13.039062 1540048320.2298
MEM 13.039062 1540048320.3304
MEM 13.039062 1540048320.4307
MEM 13.039062 1540048320.5312
MEM 13.039062 1540048320.6317
MEM 13.039062 1540048320.7323
MEM 13.039062 1540048320.8329
MEM 13.039062 1540048320.9334
MEM 13.039062 1540048321.0339
MEM 13.039062 1540048321.1343
MEM 13.039062 1540048321.2348
MEM 13.039062 1540048321.3352
MEM 13.039062 1540048321.4357
MEM 13.039062 1540048321.5363
MEM 13.039062 1540048321.6368
MEM 13.039062 1540048321.7371
MEM 13.039062 1540048321.8374
MEM 13.039062 1540048321.9378
MEM 13.039062 1540048322.0382
MEM 13.039062 1540048322.1388
MEM 13.039062 1540048322.2392
MEM 13.039062 1540048322.3396
MEM 13.039062 1540048322.4402
MEM 13.039062 1540048322.5407
